@id,@lat,@lon,name,location,opening_hours
459670767,41.9952414,21.4310013,Caffe Skopje,Center,Mo-Su 08:00-23:00
459670779,41.9933851,21.4301082,Living Room,Center,Mo-Su 09:00-21:00
459670881,41.992653,21.429836,Play Cafe,Center,Mo-Su 09:00-21:00
459752642,41.9984414,21.4373453,Bistro Opera Pub,Center,24/7
2054895230,41.9950653,21.4324491,Up Cafe,Center,Mo-Sa 08:00-18:00
2814545377,41.9955477,21.4308204,Bocata,Center,Mo-Su 08:00-23:00
2814545378,41.9949424,21.4308588,Coffee Factory 2,Center,Mo-Sa 08:00-01:00
2992591829,42.0017629,21.4370632,Mon Frere,Old Bazaar,Mo-Su 08:00-23:00
3101725379,41.999241,21.4368849,Old Town,Old Bazaar,Mo-Su 10:00-22:00
3101726037,42.0000003,21.4358699,Nargile Cafe,Old Bazaar,Mo-Su 10:00-22:00
3103985004,41.9958677,21.4330712,Telekom Trend Lounge Bar,Center,Mo-Su 08:00-24:00
3341289752,41.9944452,21.4306195,Bistro Skopje,Center,Mo-Su 09:00-21:00
3341289753,41.9938562,21.430365,Gnezdo,Center,Mo-Su 08:00-22:00
3341289786,41.9929701,21.4302256,Caffe Novo,Center,Mo-Su 09:00-22:00
3341289788,41.9927362,21.4298707,Caffe Bar Dolce Vita,Center,Mo-Su 09:00-21:00
3341289790,41.9923772,21.4293734,Corsso,Center,24/7
4304451302,41.9994358,21.4366103,Clique Bar,Old Bazaar,24/7
5110720231,42.0011325,21.4375923,Shisha,Old Bazaar,Mo-Su 10:00-22:00
6018277485,41.9971825,21.4284228,Squeeze Me,Center,Mo-Su 09:00-21:00
6032865285,42.0002555,21.4361778,k8,Old Bazaar,Mo-Su 10:00-22:00
6054032912,41.9970171,21.428439,Manda Coffee Bar,Center,Mo-Su 09:00-21:00
6680280012,41.9994044,21.4368049,Boomerang Shisha,Old Bazaar,24/7
6802029812,41.9973064,21.4297354,Home Brews,Center,Mo-Su 09:00-22:00
6814231792,41.9999671,21.4370091,Urban,Old Bazaar,24/7
6814246690,42.0003942,21.4364615,Coffe Tearoom Lachi,Old Bazaar,Mo-Sa 08:00-18:00
6814246723,41.999797,21.4373153,Bomonti,Old Bazaar,Mo-Su 10:00-22:00
6821158386,42.0030613,21.4385935,Kairo,Old Bazaar,Mo-Su 09:00-21:00
6821158388,41.9940274,21.4304151,Stay you,Center,Mo-Su 08:00-22:00
6821158389,41.9924937,21.4300488,JJ&S,Center,Mo-Su 09:00-21:00
6821158686,41.9976507,21.434633,Mulliri,Center,Mo-Su 11:00-23:00
6821158695,41.9939851,21.430389,MIG,Center,Mo-Su 09:00-21:00
6827032732,42.0009497,21.438158,Gallery 7,Old Bazaar,Mo-Su 09:00-21:00
8121684194,41.9932519,21.4297974,Cafe Barcelona,Center,Mo-Sa 08:00-18:00